is_correct,token_correct,x_len,y_len,y_pred_str,y_str
True,30,9,30,"_answer ( NV , _largest ( NV , ( _state ( NV ) , _capital ( V0 , V2 ) , _population ( V2 , V1 ) ) ) )","_answer ( NV , _largest ( NV , ( _state ( NV ) , _capital ( V0 , V2 ) , _population ( V2 , V1 ) ) ) )"
True,33,8,33,"_answer ( NV , _lowest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( iowa ) ) ) ) )","_answer ( NV , _lowest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( iowa ) ) ) ) )"
True,35,9,35,"_answer ( NV , ( _state ( V0 ) , _city ( NV ) , _const ( V0 , _cityid ( denver , _ ) ) , _loc ( V0 , V1 ) ) )","_answer ( NV , ( _state ( V0 ) , _city ( NV ) , _const ( V0 , _cityid ( denver , _ ) ) , _loc ( V0 , V1 ) ) )"
True,40,11,40,"_answer ( NV , ( _capital ( V0 ) , _loc ( V0 , NV ) , _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( texas ) ) ) )","_answer ( NV , ( _capital ( V0 ) , _loc ( V0 , NV ) , _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( texas ) ) ) )"
True,35,10,35,"_answer ( NV , ( _population ( NV , V1 ) , _capital ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( georgia ) ) ) )","_answer ( NV , ( _population ( NV , V1 ) , _capital ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( georgia ) ) ) )"
True,36,14,36,"_answer ( NV , _largest ( V0 , ( _state ( V0 ) , _const ( NV , _riverid ( ' rio grande ' ) ) , _traverse ( V0 , V1 ) ) ) )","_answer ( NV , _largest ( V0 , ( _state ( V0 ) , _const ( NV , _riverid ( ' rio grande ' ) ) , _traverse ( V0 , V1 ) ) ) )"
True,40,8,40,"_answer ( NV , _count ( NV , ( _major ( V0 ) , _city ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( texas ) ) ) , V2 ) )","_answer ( NV , _count ( NV , ( _major ( V0 ) , _city ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( texas ) ) ) , V2 ) )"
True,23,5,23,"_answer ( NV , ( _size ( NV , V1 ) , _const ( V0 , _stateid ( massachusetts ) ) ) )","_answer ( NV , ( _size ( NV , V1 ) , _const ( V0 , _stateid ( massachusetts ) ) ) )"
True,35,7,35,"_answer ( NV , _count ( NV , ( _river ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( missouri ) ) ) , V2 ) )","_answer ( NV , _count ( NV , ( _river ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( missouri ) ) ) , V2 ) )"
True,47,12,47,"_answer ( NV , ( _state ( V0 ) , _traverse ( NV , V1 ) , _largest ( V0 , ( _river ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _countryid ( usa ) ) ) ) ) )","_answer ( NV , ( _state ( V0 ) , _traverse ( NV , V1 ) , _largest ( V0 , ( _river ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _countryid ( usa ) ) ) ) ) )"
True,23,10,23,"_answer ( NV , _largest ( NV , ( _state ( V1 ) , _density ( V1 , V0 ) ) ) )","_answer ( NV , _largest ( NV , ( _state ( V1 ) , _density ( V1 , V0 ) ) ) )"
True,28,7,28,"_answer ( NV , ( _capital ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( indiana ) ) ) )","_answer ( NV , ( _capital ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( indiana ) ) ) )"
True,28,7,28,"_answer ( NV , ( _capital ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( maine ) ) ) )","_answer ( NV , ( _capital ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( maine ) ) ) )"
True,14,5,14,"_answer ( NV , _largest ( V0 , _city ( V0 ) ) )","_answer ( NV , _largest ( V0 , _city ( V0 ) ) )"
True,35,8,35,"_answer ( NV , _count ( NV , ( _city ( V0 ) , _const ( NV , _countryid ( usa ) ) , _loc ( V1 , V0 ) ) , V2 ) )","_answer ( NV , _count ( NV , ( _city ( V0 ) , _const ( NV , _countryid ( usa ) ) , _loc ( V1 , V0 ) ) , V2 ) )"
True,33,9,33,"_answer ( NV , ( _state ( V0 ) , _const ( NV , _riverid ( missouri ) ) , _river ( V0 ) , _traverse ( V0 , V1 ) ) )","_answer ( NV , ( _state ( V0 ) , _const ( NV , _riverid ( missouri ) ) , _river ( V0 ) , _traverse ( V0 , V1 ) ) )"
True,28,5,28,"_answer ( NV , ( _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( delaware ) ) ) )","_answer ( NV , ( _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( delaware ) ) ) )"
True,37,11,37,"_answer ( NV , ( _river ( V0 ) , _traverse ( V0 , NV ) , _largest ( NV , ( _state ( V1 ) , _population ( V1 , V0 ) ) ) ) )","_answer ( NV , ( _river ( V0 ) , _traverse ( V0 , NV ) , _largest ( NV , ( _state ( V1 ) , _population ( V1 , V0 ) ) ) ) )"
True,33,9,33,"_answer ( NV , ( _state ( V0 ) , _const ( NV , _riverid ( mississippi ) ) , _river ( V0 ) , _traverse ( V0 , V1 ) ) )","_answer ( NV , ( _state ( V0 ) , _const ( NV , _riverid ( mississippi ) ) , _river ( V0 ) , _traverse ( V0 , V1 ) ) )"
True,25,7,25,"_answer ( NV , ( _population ( NV , V1 ) , _const ( V0 , _cityid ( atlanta , _ ) ) ) )","_answer ( NV , ( _population ( NV , V1 ) , _const ( V0 , _cityid ( atlanta , _ ) ) ) )"
True,57,13,57,"_answer ( NV , _count ( NV , ( _river ( V0 ) , \+ ( _traverse ( V0 , NV ) , _state ( V0 ) , _loc ( NV , V1 ) , _capital ( V0 ) , _const ( V0 , _cityid ( albany , _ ) ) ) ) , V3 ) )","_answer ( NV , _count ( NV , ( _river ( V0 ) , \+ ( _traverse ( V0 , NV ) , _state ( V0 ) , _loc ( NV , V1 ) , _capital ( V0 ) , _const ( V0 , _cityid ( albany , _ ) ) ) ) , V3 ) )"
True,28,9,28,"_answer ( NV , ( _size ( NV , V1 ) , _const ( V0 , _cityid ( ' new york ' , _ ) ) ) )","_answer ( NV , ( _size ( NV , V1 ) , _const ( V0 , _cityid ( ' new york ' , _ ) ) ) )"
True,28,5,28,"_answer ( NV , ( _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( arkansas ) ) ) )","_answer ( NV , ( _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( arkansas ) ) ) )"
True,28,5,28,"_answer ( NV , ( _loc ( NV , V1 ) , _const ( V0 , _cityid ( ' scotts valley ' , _ ) ) ) )","_answer ( NV , ( _loc ( NV , V1 ) , _const ( V0 , _cityid ( ' scotts valley ' , _ ) ) ) )"
True,30,7,30,"_answer ( NV , _most ( V0 , NV , ( _state ( V1 ) , _loc ( V0 , V1 ) , _city ( V0 ) ) ) )","_answer ( NV , _most ( V0 , NV , ( _state ( V1 ) , _loc ( V0 , V1 ) , _city ( V0 ) ) ) )"
True,28,8,28,"_answer ( NV , ( _state ( V0 ) , _const ( NV , _riverid ( mississippi ) ) , _traverse ( V0 , V1 ) ) )","_answer ( NV , ( _state ( V0 ) , _const ( NV , _riverid ( mississippi ) ) , _traverse ( V0 , V1 ) ) )"
True,25,7,25,"_answer ( NV , ( _area ( NV , V1 ) , _const ( V0 , _cityid ( seattle , _ ) ) ) )","_answer ( NV , ( _area ( NV , V1 ) , _const ( V0 , _cityid ( seattle , _ ) ) ) )"
True,30,8,30,"_answer ( NV , ( _state ( V0 ) , _loc ( NV , V1 ) , _river ( V0 ) , _traverse ( V0 , V1 ) ) )","_answer ( NV , ( _state ( V0 ) , _loc ( NV , V1 ) , _river ( V0 ) , _traverse ( V0 , V1 ) ) )"
True,25,7,25,"_answer ( NV , ( _population ( NV , V1 ) , _const ( V0 , _cityid ( boston , _ ) ) ) )","_answer ( NV , ( _population ( NV , V1 ) , _const ( V0 , _cityid ( boston , _ ) ) ) )"
True,28,5,28,"_answer ( NV , ( _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( ohio ) ) ) )","_answer ( NV , ( _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( ohio ) ) ) )"
True,40,11,40,"_answer ( NV , _largest ( NV , ( _city ( V1 ) , _loc ( V1 , NV ) , _const ( V0 , _stateid ( texas ) ) , _population ( V2 , V1 ) ) ) )","_answer ( NV , _largest ( NV , ( _city ( V1 ) , _loc ( V1 , NV ) , _const ( V0 , _stateid ( texas ) ) , _population ( V2 , V1 ) ) ) )"
True,33,9,33,"_answer ( NV , _largest ( V0 , ( _state ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _countryid ( usa ) ) ) ) )","_answer ( NV , _largest ( V0 , ( _state ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _countryid ( usa ) ) ) ) )"
True,40,12,40,"_answer ( NV , ( _capital ( V0 ) , _loc ( V0 , NV ) , _state ( V0 ) , _loc ( NV , V1 ) , _highest ( V0 , _place ( V0 ) ) ) )","_answer ( NV , ( _capital ( V0 ) , _loc ( V0 , NV ) , _state ( V0 ) , _loc ( NV , V1 ) , _highest ( V0 , _place ( V0 ) ) ) )"
True,47,12,47,"_answer ( NV , ( _state ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _countryid ( usa ) ) , _loc ( NV , V2 ) , _const ( V0 , _cityid ( springfield , _ ) ) ) )","_answer ( NV , ( _state ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _countryid ( usa ) ) , _loc ( NV , V2 ) , _const ( V0 , _cityid ( springfield , _ ) ) ) )"
True,35,12,35,"_answer ( NV , ( _population ( NV , V1 ) , _capital ( V0 ) , _loc ( V0 , NV ) , _smallest ( V0 , _state ( V0 ) ) ) )","_answer ( NV , ( _population ( NV , V1 ) , _capital ( V0 ) , _loc ( V0 , NV ) , _smallest ( V0 , _state ( V0 ) ) ) )"
True,33,8,33,"_answer ( NV , _lowest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( pennsylvania ) ) ) ) )","_answer ( NV , _lowest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( pennsylvania ) ) ) ) )"
True,33,8,33,"_answer ( NV , _lowest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( colorado ) ) ) ) )","_answer ( NV , _lowest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( colorado ) ) ) ) )"
False,44,11,52,"_answer ( NV , ( _state ( V0 ) , _next_to ( V0 , NV ) , _state ( V0 ) , _next_to ( V0 , NV ) , _state ( V0 ) , _next_to ( V0 , NV ) , _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( florida ) ) ) )","_answer ( NV , ( _state ( V0 ) , _next_to ( V0 , NV ) , _state ( V0 ) , _next_to ( V0 , NV ) , _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( florida ) ) ) )"
True,23,10,23,"_answer ( NV , ( _population ( NV , V1 ) , _const ( V0 , _stateid ( nevada ) ) ) )","_answer ( NV , ( _population ( NV , V1 ) , _const ( V0 , _stateid ( nevada ) ) ) )"
True,33,8,33,"_answer ( NV , _lowest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( oregon ) ) ) ) )","_answer ( NV , _lowest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( oregon ) ) ) ) )"
True,28,6,28,"_answer ( NV , ( _river ( V0 ) , _traverse ( V0 , NV ) , _const ( V0 , _stateid ( arizona ) ) ) )","_answer ( NV , ( _river ( V0 ) , _traverse ( V0 , NV ) , _const ( V0 , _stateid ( arizona ) ) ) )"
True,45,11,45,"_answer ( NV , ( _len ( NV , V1 ) , _const ( V0 , _riverid ( colorado ) ) , _river ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( texas ) ) ) )","_answer ( NV , ( _len ( NV , V1 ) , _const ( V0 , _riverid ( colorado ) ) , _river ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( texas ) ) ) )"
True,45,13,45,"_answer ( NV , _longest ( V0 , ( _river ( V0 ) , _loc ( V0 , NV ) , _state ( V0 ) , _loc ( NV , V1 ) , _highest ( V0 , _place ( V0 ) ) ) ) )","_answer ( NV , _longest ( V0 , ( _river ( V0 ) , _loc ( V0 , NV ) , _state ( V0 ) , _loc ( NV , V1 ) , _highest ( V0 , _place ( V0 ) ) ) ) )"
True,40,7,40,"_answer ( NV , _count ( NV , ( _major ( V0 ) , _river ( V0 ) , _traverse ( V0 , NV ) , _const ( V0 , _stateid ( ohio ) ) ) , V2 ) )","_answer ( NV , _count ( NV , ( _major ( V0 ) , _river ( V0 ) , _traverse ( V0 , NV ) , _const ( V0 , _stateid ( ohio ) ) ) , V2 ) )"
True,42,13,42,"_answer ( NV , _highest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _largest ( NV , ( _state ( V1 ) , _area ( V1 , V0 ) ) ) ) ) )","_answer ( NV , _highest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _largest ( NV , ( _state ( V1 ) , _area ( V1 , V0 ) ) ) ) ) )"
True,28,7,28,"_answer ( NV , ( _city ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( virginia ) ) ) )","_answer ( NV , ( _city ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( virginia ) ) ) )"
True,28,5,28,"_answer ( NV , ( _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( alaska ) ) ) )","_answer ( NV , ( _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( alaska ) ) ) )"
True,40,10,40,"_answer ( NV , _count ( NV , ( _state ( V0 ) , _const ( NV , _riverid ( colorado ) ) , _river ( V0 ) , _traverse ( V0 , V1 ) ) , V2 ) )","_answer ( NV , _count ( NV , ( _state ( V0 ) , _const ( NV , _riverid ( colorado ) ) , _river ( V0 ) , _traverse ( V0 , V1 ) ) , V2 ) )"
True,49,14,49,"_answer ( NV , ( _river ( V0 ) , _traverse ( V0 , NV ) , _state ( V0 ) , _next_to ( V0 , NV ) , _largest ( NV , ( _state ( V1 ) , _population ( V1 , V0 ) ) ) ) )","_answer ( NV , ( _river ( V0 ) , _traverse ( V0 , NV ) , _state ( V0 ) , _next_to ( V0 , NV ) , _largest ( NV , ( _state ( V1 ) , _population ( V1 , V0 ) ) ) ) )"
True,37,11,37,"_answer ( NV , ( _elevation ( NV , V1 ) , _highest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _state ( V0 ) ) ) ) )","_answer ( NV , ( _elevation ( NV , V1 ) , _highest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _state ( V0 ) ) ) ) )"
True,40,11,40,"_answer ( NV , ( _population ( NV , V1 ) , _major ( V0 ) , _city ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( wisconsin ) ) ) )","_answer ( NV , ( _population ( NV , V1 ) , _major ( V0 ) , _city ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( wisconsin ) ) ) )"
True,38,8,38,"_answer ( NV , _count ( NV , ( _river ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( ' new york ' ) ) ) , V2 ) )","_answer ( NV , _count ( NV , ( _river ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( ' new york ' ) ) ) , V2 ) )"
True,9,4,9,"_answer ( NV , _state ( V0 ) )","_answer ( NV , _state ( V0 ) )"
True,28,7,28,"_answer ( NV , _largest ( NV , ( _state ( V1 ) , _loc ( V0 , V1 ) , _city ( V0 ) ) ) )","_answer ( NV , _largest ( NV , ( _state ( V1 ) , _loc ( V0 , V1 ) , _city ( V0 ) ) ) )"
True,36,9,36,"_answer ( NV , _highest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( ' south carolina ' ) ) ) ) )","_answer ( NV , _highest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( ' south carolina ' ) ) ) ) )"
True,33,8,33,"_answer ( NV , _lowest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( wisconsin ) ) ) ) )","_answer ( NV , _lowest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( wisconsin ) ) ) ) )"
True,28,5,28,"_answer ( NV , ( _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( kentucky ) ) ) )","_answer ( NV , ( _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( kentucky ) ) ) )"
True,45,14,45,"_answer ( NV , _longest ( V0 , ( _river ( V0 ) , _traverse ( V0 , NV ) , _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( tennessee ) ) ) ) )","_answer ( NV , _longest ( V0 , ( _river ( V0 ) , _traverse ( V0 , NV ) , _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( tennessee ) ) ) ) )"
True,28,7,28,"_answer ( NV , ( _len ( NV , V1 ) , _const ( V0 , _riverid ( missouri ) ) , _river ( V0 ) ) )","_answer ( NV , ( _len ( NV , V1 ) , _const ( V0 , _riverid ( missouri ) ) , _river ( V0 ) ) )"
True,28,6,28,"_answer ( NV , ( _capital ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( iowa ) ) ) )","_answer ( NV , ( _capital ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( iowa ) ) ) )"
True,42,10,42,"_answer ( NV , ( _len ( NV , V1 ) , _shortest ( V0 , ( _river ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _countryid ( usa ) ) ) ) ) )","_answer ( NV , ( _len ( NV , V1 ) , _shortest ( V0 , ( _river ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _countryid ( usa ) ) ) ) ) )"
True,23,7,23,"_answer ( NV , _largest ( NV , ( _state ( V1 ) , _population ( V1 , V0 ) ) ) )","_answer ( NV , _largest ( NV , ( _state ( V1 ) , _population ( V1 , V0 ) ) ) )"
True,55,13,55,"_answer ( NV , _highest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _state ( V0 ) , _loc ( NV , V1 ) , _capital ( V0 ) , _const ( V0 , _cityid ( ' des moines ' , _ ) ) ) ) )","_answer ( NV , _highest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _state ( V0 ) , _loc ( NV , V1 ) , _capital ( V0 ) , _const ( V0 , _cityid ( ' des moines ' , _ ) ) ) ) )"
True,33,8,33,"_answer ( NV , _smallest ( V0 , ( _city ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( arkansas ) ) ) ) )","_answer ( NV , _smallest ( V0 , ( _city ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( arkansas ) ) ) ) )"
True,40,10,40,"_answer ( NV , ( _capital ( V0 ) , _loc ( V0 , NV ) , _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( texas ) ) ) )","_answer ( NV , ( _capital ( V0 ) , _loc ( V0 , NV ) , _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( texas ) ) ) )"
True,25,8,25,"_answer ( NV , ( _population ( NV , V1 ) , _const ( V0 , _cityid ( washington , dc ) ) ) )","_answer ( NV , ( _population ( NV , V1 ) , _const ( V0 , _cityid ( washington , dc ) ) ) )"
True,28,6,28,"_answer ( NV , ( _river ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( arkansas ) ) ) )","_answer ( NV , ( _river ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( arkansas ) ) ) )"
True,47,11,47,"_answer ( NV , _count ( NV , ( _city ( V0 ) , _const ( V0 , _cityid ( austin , _ ) ) , _loc ( V0 , NV ) , _const ( V0 , _countryid ( usa ) ) ) , V2 ) )","_answer ( NV , _count ( NV , ( _city ( V0 ) , _const ( V0 , _cityid ( austin , _ ) ) , _loc ( V0 , NV ) , _const ( V0 , _countryid ( usa ) ) ) , V2 ) )"
True,33,7,33,"_answer ( NV , ( _major ( V0 ) , _river ( V0 ) , _traverse ( V0 , NV ) , _const ( V0 , _stateid ( illinois ) ) ) )","_answer ( NV , ( _major ( V0 ) , _river ( V0 ) , _traverse ( V0 , NV ) , _const ( V0 , _stateid ( illinois ) ) ) )"
True,37,9,37,"_answer ( NV , _count ( NV , ( _state ( V0 ) , _loc ( NV , V1 ) , _const ( V0 , _cityid ( springfield , _ ) ) ) , V2 ) )","_answer ( NV , _count ( NV , ( _state ( V0 ) , _loc ( NV , V1 ) , _const ( V0 , _cityid ( springfield , _ ) ) ) , V2 ) )"
True,33,7,33,"_answer ( NV , _longest ( V0 , ( _river ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _countryid ( usa ) ) ) ) )","_answer ( NV , _longest ( V0 , ( _river ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _countryid ( usa ) ) ) ) )"
True,33,8,33,"_answer ( NV , ( _major ( V0 ) , _city ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( ohio ) ) ) )","_answer ( NV , ( _major ( V0 ) , _city ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _stateid ( ohio ) ) ) )"
True,35,8,35,"_answer ( NV , _count ( NV , ( _city ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _countryid ( usa ) ) ) , V2 ) )","_answer ( NV , _count ( NV , ( _city ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _countryid ( usa ) ) ) , V2 ) )"
True,43,9,43,"_answer ( NV , ( _river ( V0 ) , _traverse ( V0 , NV ) , _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( ' new mexico ' ) ) ) )","_answer ( NV , ( _river ( V0 ) , _traverse ( V0 , NV ) , _state ( V0 ) , _next_to ( V0 , NV ) , _const ( V0 , _stateid ( ' new mexico ' ) ) ) )"
True,59,15,59,"_answer ( NV , ( _river ( V0 ) , _traverse ( V0 , NV ) , _state ( V0 ) , _next_to ( V0 , NV ) , _state ( V0 ) , _loc ( NV , V1 ) , _capital ( V0 ) , _const ( V0 , _cityid ( atlanta , _ ) ) ) )","_answer ( NV , ( _river ( V0 ) , _traverse ( V0 , NV ) , _state ( V0 ) , _next_to ( V0 , NV ) , _state ( V0 ) , _loc ( NV , V1 ) , _capital ( V0 ) , _const ( V0 , _cityid ( atlanta , _ ) ) ) )"
True,23,10,23,"_answer ( NV , ( _density ( NV , V1 ) , _smallest ( V0 , _state ( V0 ) ) ) )","_answer ( NV , ( _density ( NV , V1 ) , _smallest ( V0 , _state ( V0 ) ) ) )"
True,47,10,47,"_answer ( NV , ( _state ( V0 ) , _loc ( NV , V1 ) , _highest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _countryid ( usa ) ) ) ) ) )","_answer ( NV , ( _state ( V0 ) , _loc ( NV , V1 ) , _highest ( V0 , ( _place ( V0 ) , _loc ( V0 , NV ) , _const ( V0 , _countryid ( usa ) ) ) ) ) )"
